Area_sqft,Bedrooms,Bathrooms,Age,Distance_to_CityCenter_km,Price
1748.3570765056163,1,1,43,11.26822132778727,74482.86707363663
1430.8678494144076,2,1,39,8.342830264725476,93659.17814294375
1823.8442690503464,1,2,29,4.716947693903297,178618.57648613528
2261.514928204013,4,3,77,2.3704702154712844,270714.953573764
1382.923312638332,3,1,73,9.3583603811216,71641.46590269607
1382.9315215254096,4,3,30,12.262464437792469,104216.14053792902
2289.606407753696,5,3,57,13.438683226844184,194845.62024562297
1883.7173645764544,5,2,54,2.990254551058684,271657.06871791574
1265.262807032524,5,1,35,11.945533945874256,71262.79041474097
1771.2800217929823,3,2,78,4.694548140087064,190010.1163235313
1267.1351232148716,5,3,47,8.469547839981596,164796.21392212604
1620.981135783017,4,3,77,3.80317075070994,230763.39996335845
637.5410837434836,5,1,16,9.585499832726434,92819.26859764758
1218.8562353795137,5,1,26,13.539557456301822,46807.32480934997
993.584439832788,3,3,62,11.088697309152815,43731.420741956405
1657.1236662976369,4,3,76,18.335644983524357,4641.768677666685
1045.9879622393946,3,1,13,8.075035816332761,119744.47375760808
793.8481493323543,3,3,25,14.314379766464906,13965.178581399072
2232.824384460777,4,3,42,6.694595156237705,271657.3080928156
1387.1118497567322,2,3,74,11.09126432913291,72773.0902965655
1533.764102343962,4,1,0,7.567326772773734,210904.02939470496
1227.8086377374086,3,2,19,14.770597921809353,29203.447527027594
1555.461294854933,2,2,71,12.552369043161812,44854.30385004719
1687.849009172836,2,3,29,13.467372700992025,99411.4404470579
1199.6806550405977,5,2,17,14.766880857336806,72167.91718651925
1354.1531251033616,5,2,76,10.52178285810029,143362.7285418728
1199.1466938853016,3,1,99,12.747024618656985,28182.596803486475
2426.139092254469,4,3,82,17.76062402354093,99622.5876906839
1493.2513876310331,2,3,12,9.032055962312349,120162.71535214769
971.14453552205,5,1,47,11.309819315650948,101490.7874385484
1911.2724560515944,4,2,59,8.008957355374948,188786.82967728493
1604.4317975023778,4,3,8,8.777743650217406,217644.5547755635
1598.4306179345615,4,2,94,15.021817195197368,34729.83063618996
1869.2332899977048,2,3,70,8.766241181710214,100179.84391736086
1585.6841405949854,2,1,8,14.1209108551195,22223.692489011824
1442.1758588058797,1,2,25,12.181267186747622,22961.08215603675
1349.4481522053557,4,2,32,2.2616422760547508,237072.6177276957
760.7390048162863,3,1,32,4.189830227331695,97103.97413621178
1140.0778958026458,5,3,51,8.445975565220808,156570.9123938652
1269.6806145201062,2,1,39,11.769511383063415,41133.63093627543
2028.561113109458,2,1,3,7.006592954211058,244724.04815606665
1671.8091447842307,2,3,27,10.155182867025134,141718.32229886003
618.479922318633,2,2,53,7.375609928369224,33440.18051176142
1662.0419846973975,5,1,67,5.484297052739854,195952.14899239808
1307.458859791842,3,1,97,7.796400804510812,83001.54950757364
1161.5389998470207,1,2,48,11.537862460155296,33065.01744790255
1805.838144420434,3,3,5,12.497667834128087,144008.2264673905
2015.499761247976,5,2,32,8.262531474588414,224771.4357569891
1965.6400595580992,4,2,4,17.401102241051863,87867.82603423882
1080.391238388681,1,1,82,6.505947163152099,76423.64845188358
1345.3938120743928,1,1,17,11.265905316164616,49922.20282294232
1665.631715701782,4,3,2,7.9384663522113055,211668.53667074727
1987.77256356118,2,1,97,5.808830943200396,166694.45593623284
1260.412881077355,5,2,1,5.524842084066783,172237.5101236304
1407.1705116680914,4,2,64,9.534791716156958,125242.75003106748
946.832512996986,3,3,34,2.3425838435333377,154028.6986327968
1906.2629111970991,4,1,67,12.0223615288034,154816.0908143629
2178.120014285412,5,3,34,13.183187194686722,191339.83601916477
2001.766448946012,1,1,43,11.62554543075234,95940.20162717716
1680.818012523817,2,3,28,4.761493811651485,178411.63049879015
1177.4401226974378,5,2,35,7.897538938207639,149497.0363605141
1680.697802754207,3,3,77,10.114464434225296,122881.62900987336
2269.0182832329847,3,2,41,8.842775516468445,212663.68766665796
1482.0869804450242,2,2,93,5.254835619056617,175423.82592516104
2282.321827907004,3,2,6,6.563765559715052,298068.6050537011
1910.951252187612,2,2,21,13.295493617797412,105631.75309910672
1543.5235341190855,4,3,56,7.807097563242818,172121.01817606302
1350.4963247670662,1,2,44,11.18058479123735,56108.131317838444
1545.8803882677512,5,1,53,3.007454754584515,198432.1469033342
506.2155426995536,5,1,1,4.670297689451082,175808.7028259533
1390.164056081244,1,1,71,9.678444572531038,46173.18563948868
1678.5562857558732,5,1,56,3.247125023963145,224108.57565248795
2238.947022370758,3,3,84,10.9087039104025,163650.345372083
1240.8648908631762,3,1,83,2.883144173037154,146192.59217825322
1095.7531985534065,5,3,74,16.241220078759554,2187.932552880233
1957.701058851037,5,1,43,17.041261128286138,86211.46523471527
1664.3755548298425,2,3,68,5.329113711409275,155676.88881546177
1235.1198981164807,2,2,52,14.039343833504391,13009.535092845796
1756.633716556678,1,3,61,6.92907077024365,164795.83428179426
1548.5387746740205,3,2,93,0.5851100341672026,166527.42824393872
1984.3224952664443,4,3,32,6.232618043539892,263008.8949245691
1148.973453061324,5,2,75,14.512844288941444,43010.73186266805
1336.168926701116,2,1,68,11.481861710053272,55147.80822958825
1303.9459234339213,3,2,0,7.07919419674445,156617.68983203746
768.2425259339407,3,2,34,8.998480894285557,48000.36375642051
1648.060138532288,4,1,24,7.002906343561961,168692.56934539147
1630.5276360899447,4,1,3,9.234715107029295,144413.45416736975
1502.5567283212304,4,2,72,16.857085097570057,14842.446049330005
1382.7064333124265,4,2,66,8.100120775805348,127570.74186447318
1289.6773386173204,4,1,83,4.894343445744598,151448.77342651223
1328.642741736615,3,1,9,12.722146173325417,74194.97609704126
1098.8613653891905,3,1,19,14.746215042008092,7421.852009135138
1419.357144166995,5,3,39,3.2967884641220118,245692.4965411643
1702.0254284072691,3,3,66,11.543582497857752,149854.42833622676
2443.0929506052653,3,2,74,3.3389488989797105,244136.51970557083
1628.7751953613822,3,3,27,16.50552352755959,23381.60502456287
1462.7770421169164,1,3,34,13.29855630905812,11924.39390632724
540.6143923504793,3,1,6,10.118358347074537,1870.9511654348755
1486.7430622753916,5,2,53,7.401310225412461,229817.6966928493
1530.1151049705131,5,3,96,6.702878613378635,189552.57985578396
2731.621056242643,4,3,41,17.24711450864585,164584.1073723864
1403.819517609439,2,3,37,10.839652680034131,129977.66148508251
1650.7736711668065,5,1,82,16.31631126410955,19243.44123398796
915.660981190234,1,2,56,9.495063456655108,19617.047827759263
2071.4114072575103,4,3,28,9.101454516395751,253110.81229624036
1875.966516343387,2,2,65,8.692179014038146,173073.48120724905
1895.5159735215236,2,1,82,5.814374671813404,139781.258343592
1045.3062726026303,3,3,72,9.435972121590575,70326.55402759189
2201.3971554680497,1,2,5,9.81212808938996,199821.7369640193
1793.4285469001352,1,1,1,9.451110096198782,121314.19646089547
2595.227812904989,1,3,38,13.882590513735558,140052.0196832646
1004.7318374346556,5,1,5,12.90266250200796,93980.42094337958
1216.851135198614,2,3,13,13.638169705611684,55018.63080406498
1549.825682543821,3,3,89,10.761454590418486,69226.79890991247
1248.2621729419004,5,2,17,12.475712259849445,92622.7467526808
1534.2814874030137,4,1,75,2.383417218636077,196804.87372100688
968.8481431369476,1,1,21,7.901415762919575,82732.26630152577
1736.7962153175908,3,1,77,5.49953342675516,177388.9929838063
2274.96720250877,4,3,72,14.707326614306478,153918.88858479715
1338.9692418971622,4,3,9,11.906997161724291,117373.50773898978
1906.7586086848348,4,3,26,17.089301713065467,72538.49556916166
884.5678417830223,5,2,13,7.405957841889586,144275.56883091925
1613.7299673020648,4,2,8,16.196117528768397,48061.98447240069
2153.571377141214,5,3,8,18.96223081303622,110767.14486732168
696.2583827193862,5,1,89,10.365231951018137,61807.23386246781
1592.316929266152,4,2,56,6.076780899606476,208356.6537043372
1629.9413971242118,2,3,95,9.0801368610059,133658.54390575446
1890.9114358886552,4,2,34,15.347331180265265,84652.59937925906
881.524644560959,4,3,25,12.821926510909366,36650.77786189287
839.7716934578618,2,2,40,11.426962686653402,34801.68031562574
1760.9707828084488,1,1,66,5.650798144091293,143589.89491748443
1648.492336616593,3,1,29,10.360807687741104,120586.24936498894
1625.2464251729382,1,2,28,11.645352717170825,91931.41948023658
1673.224104748488,4,2,83,7.77246542533249,165138.26441702165
1159.9876392107549,1,2,67,7.996482709546898,97049.03673540113
1616.1268485805017,3,1,13,13.805967680578766,88961.88450799452
1646.5362366493407,1,2,51,13.083432500058452,46519.93641253271
1142.824290986816,3,1,38,10.283707567441205,41014.1560327441
2432.8872555723783,1,2,20,9.07558739786996,190307.73804127888
1736.9164604558937,5,2,70,9.527583281339474,204960.70736802072
904.3482513986756,4,3,5,15.240178927744893,47053.92420195372
1828.2768043169149,3,1,54,12.974580974852596,123365.36069656177
1012.6591648863392,4,2,39,11.01449784225855,63620.03271769549
1893.542301871226,5,1,69,18.28405616714088,77.50347887926182
2079.297789503702,1,3,24,6.703925469952324,226652.5419880135
1089.6588408241448,4,1,3,4.373588027339861,191932.3707564645
1981.688064622161,1,1,88,0.0,191106.9493985233
1706.3904634682492,1,1,81,12.756168992243865,47952.801634963376
1911.030079997245,4,1,33,17.80043834990544,73564.36010071872
2448.396491326974,3,1,88,17.422638368161607,51821.333934079405
1377.3059419985648,3,1,21,7.040655634135762,174166.74426052562
1123.1319178212552,4,1,55,6.081808095244217,100574.97869109867
1055.2427851872385,3,2,45,0.0,174965.23795901326
1092.0948575172808,2,2,55,6.678999032496677,101115.40322924747
1461.4491452929478,1,1,77,4.521875161792943,120148.09093218078
1670.575987408322,4,1,74,16.26919410003193,43558.60018832563
1638.3453996650096,5,2,26,10.854505694196074,192802.4196951737
1913.591624518012,4,3,89,10.339260234057791,162378.72250858278
1506.5009459389537,4,2,34,6.467845848916937,172195.71654355503
2226.7670385786587,1,3,15,3.237017988919312,280624.49970284075
1367.671583381022,5,1,19,3.553236253390276,204163.862644402
2860.0845832948094,1,1,14,4.903597679843003,248546.76530837023
1812.833673882503,3,2,77,13.937355306509629,83608.4612235784
1071.421221791859,4,2,71,3.044821255220836,159737.15664921515
1388.2686073370746,4,2,96,7.917520472636012,131006.13420539052
1857.000247046046,3,2,79,11.770921613890772,106764.41610085996
1736.6188122867725,1,3,90,10.254221841531612,103164.7786369013
1463.5855436715635,1,1,91,3.5715019618325066,121032.7312395978
1076.6031409657976,2,1,43,4.7150867346933705,117288.46171932507
742.5763876570677,3,1,13,7.630248288290739,62540.00037031878
1276.7425239664894,2,2,72,9.797886308606572,65529.09055559002
1607.046872065102,5,2,50,6.744692467851934,208757.6014897125
877.130610644006,1,3,21,5.885705113985899,121047.26226095928
1586.590462925591,2,1,93,5.369774056893458,119947.04841626076
1692.6586898644184,1,3,31,15.986225590415836,38122.130681138944
1058.0712818994334,1,3,79,7.146153747358083,77056.66615580252
1529.1043592229998,1,1,48,11.659691171905136,60696.97478496028
1678.8936801741415,3,3,36,10.36170636825814,165881.2775423243
1780.3922631841172,5,3,91,9.096883802209296,211295.60233405908
2041.5256215876384,3,2,2,11.172750021650854,197454.44153516268
2026.9010260174516,2,1,59,16.80749641503906,21384.50541760739
811.1653160214545,3,3,58,11.371330543998116,17275.1085240624
1031.0874800424383,5,2,22,12.69444752594748,93049.69534873786
1757.5176336043298,4,3,32,10.452050409553042,216648.11064009683
1756.8929754561043,4,3,53,9.044625499730206,228516.7624436457
1757.523843153024,2,2,38,12.645042267768092,76578.32700743905
1785.4452553465835,3,2,62,11.218249945130848,107925.15454027933
2067.7828200902995,5,2,88,3.941092858451993,302278.5798868591
1977.0008817466007,1,3,84,7.405690011295709,174672.07833329684
1825.695625652899,5,3,58,10.249398934532811,203918.37605653988
1342.3653776798271,3,1,30,3.407453999884531,188084.0370672495
